id,final,category,severity,feet_x,feet_z,object,reason,image
cl_016_prop0,confirmed_real,屋顶/檐角/屋脊,high,166.02,275.98,watchtower pagoda roof right slope and gold upturned eave corner,"The tower's base is 130+ px south of the feet. The painting itself draws this roof over the wall-walk surface the feet stand on, which confirms the roof is in front. The feet cell is in an isolated 12-cell wall-walk island, so it may be hard to reach.",cl_016_prop0.png
cl_024_prop0,confirmed_real,柱/门/牌坊,high,201.86,270.02,gate arch right column and wall face (and the facade above the arch),"The feet are on a walk island inside the arch, about 80 px north of the facade base. The right column and wall face are in front and are drawn under the actor, and by the same rule the head above the arch should also be hidden. The island is 4 cells and not connected even diagonally, so it is probab",cl_024_prop0.png
cl_132_prop0,confirmed_real,树冠/树干,high,279.83,266.02,broad-leaf tree crown beside the courtyard gate pillar,"The trunk rises from the narrow planter inside the courtyard wall, about 2-3 u south of the feet. The crown rises about 2.9 u north, and its west and centre are hidden behind the legs and lower torso.",cl_132_prop0.png
cl_177_prop3,confirmed_real,灯柱/宝顶,high,133.98,262.01,tall free-standing bronze post with gold finial,"This is one of a row of ~180 px tall bronze posts. Its base is on the pool rim about 100 px south of the feet, and there is a gold collar partway down. The shaft runs straight through the right leg and bag, and the finial is hidden behind the torso. Above the feet the post is completely covered. Thi",cl_177_prop3.png
cl_119_prop0,confirmed_real,屋顶/檐角/屋脊,high,264.01,254.0,small kiosk gold finial and east half of its teal roof,"The kiosk's pillars and stone platform are about 3-4 u south. Its finial and the east half of its roof rise north of the feet line, behind the gourd, arm and legs. The west half of the roof stays visible.",cl_119_prop0.png
cl_172_prop0,confirmed_real,柱/门/牌坊,high,115.77,254.0,brown bollard post on round stone base,"The round stone base's bottom edge is about 0.8u south, so the bollard is in front. Its upper half and cap are under the right leg/boot, with a sliver between the legs. The thin line above it is a medallion groove, and the gold balustrade knobs stay outside the silhouette.",cl_172_prop0.png
cl_037_prop0,confirmed_real,灯柱/宝顶,high,219.87,252.0,tall spire ornament: gold swirl finial and upper shaft,"The ornament stands on a stone pedestal whose base is about 7 u south. Its shaft and gold swirl finial rise to about 4.6 u above the feet line, and the character stands directly over them, hiding almost all of the finial. This is the same pattern as the calibration lamp.",cl_037_prop0.png
cl_054_prop0,confirmed_real,其他,high,177.83,252.0,gold tiered spire of a teal pedestal ornament,"The pedestal base is about 7 u south. The gold tiered spire rises to about 4.7 u north, and the character stands right over it, leaving only a sliver visible.",cl_054_prop0.png
cl_075_prop0,confirmed_real,灯柱/宝顶,high,254.0,252.0,square stone gate post with gold bulb finial,"At 4x the post shaft continues at least 15 px below the feet line to its base beside the small planter. Its finial rises ~75 px above the line. The left arm, gourd and left leg hide the finial and nearly the whole shaft, which is the calibration-lamp defect.",cl_075_prop0.png
cl_139_prop0,confirmed_real,灯柱/宝顶,high,124.02,252.0,"gold finial on the curved wooden balustrade post, and the top rail","The balustrade stands on the rim of the sunken round plaza, with its post bases about 2 u south. The finial head is hidden under the crotch and left leg, with only its lower stem showing in the leg gap. Both boots are drawn over the curved top rail.",cl_139_prop0.png
cl_121_prop0,confirmed_real,屋顶/檐角/屋脊,high,287.84,250.0,multi-tier pavilion upper roof's two gold upturned eave tips,The pavilion's tiers and walls lie well south of the feet. The two upturned gold eave tips and the upper-west roof edge rise about 2.3 u north of the feet line and fall entirely inside the leg outline.,cl_121_prop0.png
cl_047_prop0,confirmed_real,屋顶/檐角/屋脊,high,200.0,235.99,gold spire on a large roof's peak,"The roof peak is about 2 u south of the feet, and the building's base is off-crop more than 9 u south. The gold spire rises from the peak to about 5 u north and is almost fully hidden behind the legs and torso.",cl_047_prop0.png
cl_204_prop0,confirmed_real,屋顶/檐角/屋脊,high,191.99,233.98,upturned roof eave ornament (gold curl and teal body),"The ornament rises from the corner of a roof whose base is far south, reaching about 75 px above the feet. The right half of the gold curl is under the gourd hand and arm, and the right part of the teal body is under the left leg.",cl_204_prop0.png
cl_045_prop0,confirmed_real,屋顶/檐角/屋脊,high,262.01,231.98,"lower kiosk's gold finial (vase, leaf stem, gold drop) above its blue roof","At 5x, the roof ridges of the lower kiosk run straight into the gold vase, so this tall ornament is that kiosk's finial, not a free-standing post. The kiosk's base is about 4.7 u south. The finial rises to about 4.5 u north of the feet and is hidden behind the legs and torso.",cl_045_prop0.png
cl_052_prop0,confirmed_real,柱/门/牌坊,high,277.98,231.98,large urn's east gold handle arch and neck rim,"The urn's feet sit on its round pedestal about 3.5-4 u south, and the east handle springs from the pedestal about 5 u south. The upper arch and neck rim above the feet line are hidden behind the legs and torso.",cl_052_prop0.png
cl_113_prop0,confirmed_real,屋顶/檐角/屋脊,high,161.87,229.98,gold bud finial on bridge balustrade newel post,"The gray newel post's shaft runs from the feet line down past the bridge arch, at least 2.5 u south. The gold finial on top rises about 2 u north of the feet line and is almost fully covered by the legs and gourd.",cl_113_prop0.png
cl_125_prop0,confirmed_real,灯柱/宝顶,high,145.85,229.98,stone lantern pillar's gold dome cap and finial,"The lantern's stone pillar runs from the feet line down to its base about 4-5 u south, beside the bridge. The gold cap and finial, rising about 2.8 u north, are covered by the legs with only slivers showing.",cl_125_prop0.png
cl_135_prop0,confirmed_real,屋顶/檐角/屋脊,high,235.99,229.98,"gold ornament on the bridge newel post, and the balustrade rail","The carved newel post runs south down to the bridge arch, several u south of the feet. The gold ornament on it, rising about 2.5 u, is hidden behind the gourd and left leg. The right boot covers the diagonal rail of the same upright balustrade.",cl_135_prop0.png
cl_006_prop0,confirmed_real,屋顶/檐角/屋脊,high,135.99,227.98,"pavilion roof right slope, gold ridge-end ornament, white ball knob","The roof's right slope and the gold ridge-end ornament at chest height are under the actor's left half, and a white ball knob sits by the right leg. The pavilion facade is 50-120 px south of the feet, so all of it stands in front.",cl_006_prop0.png
cl_040_prop0,confirmed_real,屋顶/檐角/屋脊,high,252.0,227.98,bridge-end stone post shaft and gold finial,"The post stands at the east end of the bridge balustrade, with its round base on the bank about 2 u south of the feet. Its shaft and gold finial rise to about 4.3 u north, and the character stands directly over them. The legs and torso hide the finial and upper shaft completely.",cl_040_prop0.png
cl_141_prop0,confirmed_real,屋顶/檐角/屋脊,high,293.85,227.98,pavilion roof gold ridge arcs + apex finial,"The roof runs 7u+ south, so the building's walls are well south of the feet and all of it is in front. The gold ridge arcs rising above the line are under both boots. The left third of the apex finial is under the right leg, and its tip reaches the hand edge.",cl_141_prop0.png
cl_169_prop0,confirmed_real,树冠/树干,high,170.02,227.98,planter tree crown top,The trunk base is 4u+ south inside the planter. The crown top rises about 1.6u above the feet and is under the left boot and pant leg. The planter's low NE curb corner under the right boot is flat.,cl_169_prop0.png
cl_106_prop0,confirmed_real,屋顶/檐角/屋脊,high,303.86,225.98,pavilion roof west gold curled ridge-end and west teal slope,"The wide view shows the pavilion's walls and round-window front standing about 3-4 u south of the feet, with its roof drawn north of them. The gold curled ridge-end and the west roof slope lie inside the torso and leg outline and are drawn under the character. A clear case of a roof in front.",cl_106_prop0.png
cl_018_prop0,confirmed_real,屋顶/檐角/屋脊,high,216.02,224.02,east edge of a huge pavilion roof with gold rod; small railing finial,"About 30 px of roof edge and its gold rod are under the actor's left half, and the roof runs past the bottom of the panel, so the building's base is far south. A small gold finial on a frame that runs south is also under the right leg.",cl_018_prop0.png
cl_032_prop0,confirmed_real,屋顶/檐角/屋脊,high,181.84,224.02,west edge of a huge pavilion roof with gold rod; gate/railing gold end ornament,"This is the mirror of cl_018 on the same large pavilion. About 30 px of roof edge and the gold rod are under the actor's right half, with the base far south. A gold end ornament on a railing/gate frame that runs south is also under the left leg.",cl_032_prop0.png
cl_160_prop0,confirmed_real,树冠/树干,high,133.84,218.02,garden tree crown top-left lobes,The trunk reaches the ground about 3.7u south. The upper-left crown lobes rise about 2.3u above the feet and are under the right leg and the gap between the legs. The bed-edge flower bushes under the left boot are minor.,cl_160_prop0.png
cl_021_prop0,confirmed_real,树冠/树干,high,268.02,216.02,small tree's crown right lobe and a low shrub beside the trunk,"At pixel level the trunk meets the ground about 10-18 px south of the feet, less than the reviewer's 29 px but still south. The crown lobe (dy -60..-13) and the shrub below it (base about +10) are under the left leg and hip. The balustrade finial only touches the boot tip.",cl_021_prop0.png
cl_022_prop0,confirmed_real,屋顶/檐角/屋脊,high,70.02,212.01,round pavilion roof right slope and big curled gold eave horn,The facade is 20-70 px south of the feet. The roof slope and the horn with its knob at shoulder height are under the actor. The feet cell is in an isolated 92-cell walk island.,cl_022_prop0.png
cl_025_prop0,confirmed_real,柱/门/牌坊,high,166.02,204.0,ornate column shaft and carved capital,"The plinth is 95-120 px south of the feet. The right half of the shaft and the capital are under the actor's left half. The feet are on an isolated 6-cell island east of the shaft, so it is unlikely to be seen in play.",cl_025_prop0.png
cl_038_prop0,confirmed_real,柱/门/牌坊,high,229.83,204.0,monument column shaft and capital ring,"The column's stepped base is about 4-5.5 u south. Its fluted shaft and capital ring fill the character's east half from the feet up to the shoulders. The column is upright and in front, so it should hide that half.",cl_038_prop0.png
cl_140_prop0,confirmed_real,柱/门/牌坊,high,217.87,196.0,terrace-edge balustrade: post with gold knob + rails,"The balustrade stands on the terrace's south edge, with its plinth at or just south of the feet row, and the terrace wall drops away below it. The character must be north of it. The second post's gold knob (about 1.7u tall) is under the right leg, and the rail between the posts is under both boots.",cl_140_prop0.png
cl_150_prop0,confirmed_real,柱/门/牌坊,high,187.99,196.0,stair-head newel post gold knob,"The newel caps the stair's west rail at the terrace's south edge. Its base is at the feet row or just south (the rail continues down the stairs), and the character on the terrace must be north of it. The gold knob is fully under the pants, and the shaft shows between the legs.",cl_150_prop0.png
cl_124_prop12,confirmed_real,屋顶/檐角/屋脊,high,303.86,193.99,curled gold ornament on the hall roof ridge,The hall's ridge sits at the feet line and its body extends far south. The curled ridge ornament rises about 1.5-2 u north of the ridge and is almost fully hidden behind the right leg and bag.,cl_124_prop12.png
cl_001_prop12,confirmed_real,屋顶/檐角/屋脊,high,314.01,189.99,"pavilion roof right slope, curled gold ridge end, edge of gold finial","The right slope and curled gold ridge end are under the legs and torso, and the finial's right edge is at the left shoulder. The facade is 45-120 px south of the feet in the context crop, so the roof stands in front.",cl_001_prop12.png
cl_128_prop12,confirmed_real,屋顶/檐角/屋脊,high,285.84,189.99,roof west upturned gold eave curl and gold-trimmed west roof edge,"The building's front wall and door lie several u south. The west gold eave curl, about 3 u north of the feet line, is under the torso and bag, and the trimmed roof edge is under the legs. The magenta on the grey cast shadow to the west is detector leak.",cl_128_prop12.png
cl_026_prop12,confirmed_real,树冠/树干,high,273.88,185.99,tree crown left lobe,"The lobe joins the trunk by a visible branch, and the trunk reaches the ground at a gold ball about 75 px south of the feet. The lobe covers the legs and torso area.",cl_026_prop12.png
cl_085_prop0,confirmed_real,树冠/树干,high,125.98,185.99,crown of the tree growing from a carved pot,"The trunk descends into the carved pot in the garden bed, about 60 px south of the feet. The crown rises ~47 px above the line, and the actor's legs and lower torso hide its right half.",cl_085_prop0.png
cl_103_prop0,confirmed_real,屋顶/檐角/屋脊,high,95.85,185.99,teal roof's west eave corner with gold curl,The roof extends more than 120 px south to its building. The gold curl (~77 px north) and the roof's west end are under the right leg and torso. The small gold vase post to the SW stays at or below the line.,cl_103_prop0.png
cl_012_prop0,confirmed_real,灯柱/宝顶,high,185.84,181.98,lamp gold finial and teal cap,"The feet are identical to the in-game-confirmed calibration case (185.84, 181.98). The lamp body stands south of the feet, and its finial and cap rise into the legs.",cl_012_prop0.png
cl_050_prop0,confirmed_real,灯柱/宝顶,high,212.01,181.98,"teal lamp dome, gold ring and stacked gold finial","The lamp stands in a small planter box, with its body base about 2.3 u south and the box front about 4 u south. The dome, ring and stacked finial, up to about 5.8 u north, sit under the legs and left arm. This is the east-side twin of the calibration lamp.",cl_050_prop0.png
cl_035_prop0,confirmed_real,屋顶/檐角/屋脊,high,319.87,177.98,"gate-pavilion teal roof, NW corner (corner planter + gold west eave frame)","A 2x context crop shows this is the N-S-ridged roof of a gate pavilion. Its lattice facade is about 4.5 u south of the feet, with a second tier and facade about 8 u south. The character stands just west of the roof, and its right third (arm, side of torso, right leg) is drawn over the roof's NW corn",cl_035_prop0.png
cl_145_prop16,confirmed_real,灯柱/宝顶,high,157.86,175.98,lamp teal cap + gold finial,"Same case as the calibrated lamp: the square pedestal runs from about 0.2u to 4u south of the feet. The teal cap is under the right leg, and the finial's left half is under the right hand/arm.",cl_145_prop16.png
cl_013_prop0,confirmed_real,灯柱/宝顶,high,141.99,174.02,lamp column's gold vase finial (about 90 px tall),"The column's plinth is 65-120 px south of the feet. The whole finial, from the collar at the feet row up to the tip, is under the legs and torso.",cl_013_prop0.png
cl_027_prop0,confirmed_real,屋顶/檐角/屋脊,high,87.84,172.02,pavilion NW gold eave curl and roof west edge; signboard with gold knob,"The curl and a 10-15 px strip of roof edge belong to a pavilion whose facade is 70+ px south, and they sit under the right arm and side. An upright signboard (writing panel with a gold knob on top, stand continuing south of the feet) is under the right leg. Walk island is 3 cells (4-connected), join",cl_027_prop0.png
cl_055_prop12,confirmed_real,屋顶/檐角/屋脊,high,279.98,172.02,pagoda roof east slope and gold beaded edge,"The feet sit about on the roof's east edge; the walk cells are coarse, 2 u. The character's west third covers the roof's east slope and beaded gold edge over its full height. The building's facade is about 8 u south, so the roof is in front.",cl_055_prop12.png
cl_114_prop18,confirmed_real,其他,high,295.85,172.02,armillary sphere upper-left outer ring arc and spoke,"The sphere's pedestal bowl is about 7-9 u south. The ring stands upright, so its upper arc is drawn over walkable paving north of the feet. The arc and a spoke fall inside the right leg and lower-torso outline and are drawn under the character.",cl_114_prop18.png
cl_030_prop0,confirmed_real,灯柱/宝顶,high,251.86,170.02,"lamp upper teal body, gold collar ring, lower finial","The lamp's stone base in its square planter is 40-75 px south of the feet. Its body, collar and the lower-left of the finial are under the actor's right half.",cl_030_prop0.png
cl_088_prop0,confirmed_real,屋顶/檐角/屋脊,high,109.86,164.01,small pavilion's left upswept eave + gold dragon-head pole,"The structure's feet are ~80 px south. At 4x the dragon head sits on a pole that runs down past the feet line, so its base is south, and the left leg hides it. The upswept left eave tip is hidden by the right sleeve and leg.",cl_088_prop0.png
cl_133_prop12,confirmed_real,柱/门/牌坊,high,281.98,158.01,white rounded-top post at the porch's south-east corner,"A raw zoom shows the white rounded top continuing as a grey shaft down to the planter kerb, about 1.6 u south of the feet. The top rises about 1.5 u north and is completely hidden behind the left leg. The dark porch shrub under the gourd probably stands north of the feet on the raised porch, so it i",cl_133_prop12.png
cl_156_prop0,confirmed_real,屋顶/檐角/屋脊,high,127.98,150.0,roof ridge-end gold knob + inner ridge curl,"The teal roof belongs to a building extending 7u+ south. Its gold ridge-end knob (about 1.8u above the feet) is almost fully under the left leg, and the inner ridge curl is under the boots.",cl_156_prop0.png
cl_058_prop0,confirmed_real,屋顶/檐角/屋脊,high,85.84,148.0,pavilion roof NW corner gold rim curl and crest ornaments,"The roof corner starts about 3 u north of the feet. Its gold curl, crest ornaments and tiles are covered by the character's right half, and the building's base is more than 9 u south.",cl_058_prop0.png
cl_062_prop0,confirmed_real,屋顶/檐角/屋脊,high,116.02,148.0,roof NE corner gold curled rim and crest finial,"The roof's NE corner curl, about 2.5 u north, the crest finial and the tiles down to the feet line are under the legs. The building's facade is more than 8 u south.",cl_062_prop0.png
cl_137_prop0,confirmed_real,屋顶/檐角/屋脊,high,302.0,148.0,upright gold hook on the roof ridge corner and east upturned eave curl,"The ridge lies at the feet line and the building is south. The roughly 2.5 u gold hook is hidden behind the left leg and gourd. The east eave curl is mostly under the right boot, with only its tip showing.",cl_137_prop0.png
